trial,station,u,v,meeting_node,u_x,u_y,v_x,v_y,forward_time,backward_time,total_cost,total_time_min,path_length,forward_path,backward_path,duration,duration_bus,duration_ambulance,bus_diff,ambulance_diff,bus_saving_percent,ambulance_saving_percent
15,마포소방서 119구조대,8477574118.0,3081349434.0,5104926206.0,126.9329263,37.5497833,126.9361008,37.5464062,127.6,92.5,127.6,2.13,23.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716537 → 4591716541 → 2451940711 → 5104927724 → 5104927725 → 5104926206,5104926206 → 5104926207 → 5104926209 → 3868066626 → 3081352533 → 5338321810 → 5338321816 → 3868066562 → 3868066450 → 3081349434,340.0,5.666666666666667,3.9213333333333327,3.536666666666667,1.7913333333333328,62.411764705882355,45.68174090445426
16,마포소방서 119구조대,8477574118.0,3309834968.0,4632067413.0,126.9329263,37.5497833,126.9326686,37.5556083,156.12,168.5,168.5,2.81,39.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716540 → 2330771472 → 2330771469 → 4632077004 → 4632072866 → 4639550704 → 4632072867 → 4421755486 → 4632067413,4632067413 → 9283138089 → 5887231074 → 9944378196 → 9283138074 → 9283138073 → 9283138095 → 9283138094 → 4121393430 → 4590191568 → 3743639378 → 4552468315 → 4552468316 → 3743639342 → 4590204408 → 3743639347 → 3743639340 → 4590204409 → 3743639337 → 4590191560 → 3743639324 → 3743639326 → 3309834968,340.0,5.666666666666667,3.9213333333333327,2.856666666666667,1.1113333333333326,50.411764705882355,28.340700442026506
17,서대문소방서 북아현119안전센터,7257925078.0,4056368589.0,4056370648.0,126.9563562,37.5602839,126.9532371,37.5657287,61.86,68.5,68.5,1.14,19.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940933 → 2330771537 → 4056370646 → 4056370648,4056370648 → 4056367770 → 436848861 → 2451940971 → 4056367775 → 2451940978 → 2451940979 → 4591795452 → 2451940993 → 4056367788 → 4056368589,176.0,2.933333333333333,2.0298666666666665,1.7933333333333332,0.8898666666666666,61.13636363636363,43.838675775091964
18,서대문소방서 북아현119안전센터,7257925078.0,7069018256.0,4591828308.0,126.9563562,37.5602839,126.945855,37.5568247,57.09,83.0,83.0,1.38,25.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308,4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256,538.0,8.966666666666667,6.204933333333333,7.586666666666667,4.824933333333333,84.6096654275093,77.75963212067816
19,마포소방서 119구조대,8477574118.0,2330771437.0,9958232717.0,126.9329263,37.5497833,126.9376357,37.5543061,151.2,173.2,173.2,2.89,16.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716540 → 2330771472 → 9958202194 → 9958232717,9958232717 → 9958232723 → 436853694 → 436853695 → 2330771437,153.0,2.55,1.7646,-0.3400000000000003,-1.1254000000000002,-13.333333333333346,-63.77649325626206
20,공덕119안전센터,2330782485.0,2451940779.0,3352633633.0,126.9594634,37.5500041,126.9596946,37.5537502,25.53,46.6,46.6,0.78,6.0,2330782485 → 3352620587 → 8383046649 → 3352633633,3352633633 → 4593817590 → 2451940779,264.0,4.4,3.0448,3.62,2.2648,82.27272727272727,74.38255386232265
21,서대문소방서 북아현119안전센터,7257925078.0,2473262339.0,9283138043.0,126.9563562,37.5602839,126.9306129,37.5603401,125.6,163.0,163.0,2.72,50.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043,9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 3309835004 → 2473261142 → 4590181165 → 3743710000 → 2473264191 → 4590174136 → 3743710017 → 2473262330 → 3743710018 → 2473262339,669.0,11.15,7.7158,8.43,4.995799999999999,75.60538116591927,64.74766064439201
22,서대문소방서 북아현119안전센터,7257925078.0,4591883788.0,4591851787.0,126.9563562,37.5602839,126.9594713,37.5670525,124.08,167.5,167.5,2.79,28.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 4591859931 → 4591859930 → 4591859937 → 2451940956 → 2330771540 → 4591859892 → 4591859895 → 4591859899 → 2451940974 → 4591851784 → 4591851787,4591851787 → 2451940962 → 2451940953 → 4592872166 → 4592872158 → 2330771575 → 3967108622 → 2451941002 → 2451941022 → 4591873257 → 4591880012 → 4591880013 → 4591885191 → 4591883788,372.0,6.2,4.2904,3.41,1.5004,55.00000000000001,34.97109826589595
23,서대문소방서119구조대,3825310652.0,3785058068.0,3825310381.0,126.9347477,37.5716165,126.930959,37.5681405,33.42,56.4,56.4,0.94,7.0,3825310652 → 2532346015 → 1912549265 → 3825310381,3825310381 → 436837191 → 3825310104 → 3785058068,177.0,2.95,2.0414,2.0100000000000002,1.1014,68.13559322033899,53.953169393553445
24,마포소방서 119구조대,8477574118.0,3868066611.0,2451940711.0,126.9329263,37.5497833,126.9381523,37.5473109,103.59,96.9,103.59,1.73,18.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716537 → 4591716541 → 2451940711,2451940711 → 5104927724 → 5104927725 → 5104926206 → 5104926207 → 5104926209 → 3868066626 → 3868066611,235.0,3.9166666666666665,2.710333333333333,2.1866666666666665,0.9803333333333328,55.82978723404255,36.17021276595744
