ID,u,v,key,osmid,highway,name,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,tunnel,junction,access,width,service,u_x,u_y,v_x,v_y,u_point,v_point,risk
5266,4591904326,4591904328,0,464001747,residential,독립문로8길,FALSE,FALSE,33.74495228,"LINESTRING (126.9593995 37.5654968, 126.9597792 37.5655357)",,,,,,,,,,126.9593995,37.5654968,126.9597792,37.5655357,POINT (126.9593995 37.5654968),POINT (126.9597792 37.5655357),0.702203784
5267,4591904326,4591871310,0,464001747,residential,독립문로8길,FALSE,TRUE,18.0499399,"LINESTRING (126.9593995 37.5654968, 126.9591964 37.565476)",,,,,,,,,,126.9593995,37.5654968,126.9591964,37.565476,POINT (126.9593995 37.5654968),POINT (126.9591964 37.565476),0.680738101
5268,4591904326,4591904325,0,464007784,residential,독립문로8길,FALSE,FALSE,38.9475745,"LINESTRING (126.9593995 37.5654968, 126.9595177 37.5651593)",,,,,,,,,,126.9593995,37.5654968,126.9595177,37.5651593,POINT (126.9593995 37.5654968),POINT (126.9595177 37.5651593),0.854730031
5269,4591904327,4591904325,0,464007784,residential,독립문로8길,FALSE,TRUE,17.35378694,"LINESTRING (126.9595798 37.5650112, 126.9595177 37.5651593)",,,,,,,,,,126.9595798,37.5650112,126.9595177,37.5651593,POINT (126.9595798 37.5650112),POINT (126.9595177 37.5651593),0.944038417
5270,4591904327,4591904311,0,464007529,residential,경기대로9안길,FALSE,FALSE,39.75500256,"LINESTRING (126.9595798 37.5650112, 126.9598225 37.5651572, 126.9599511 37.5652126)",,,,,,,,,,126.9595798,37.5650112,126.9599511,37.5652126,POINT (126.9595798 37.5650112),POINT (126.9599511 37.5652126),0.534815793
5271,4591904327,4591902830,0,464007529,residential,경기대로9안길,FALSE,TRUE,68.79845652,"LINESTRING (126.9595798 37.5650112, 126.9595459 37.5649908, 126.959338 37.5647801, 126.9594753 37.5646579, 126.9595433 37.5645138)",,,,,,,,,,126.9595798,37.5650112,126.9595433,37.5645138,POINT (126.9595798 37.5650112),POINT (126.9595433 37.5645138),0.581842176
5272,4591904328,4591904326,0,464001747,residential,독립문로8길,FALSE,TRUE,33.74495228,"LINESTRING (126.9597792 37.5655357, 126.9593995 37.5654968)",,,,,,,,,,126.9597792,37.5655357,126.9593995,37.5654968,POINT (126.9597792 37.5655357),POINT (126.9593995 37.5654968),0.910581847
5273,4591904328,4591904329,0,464007785,residential,독립문로8길,FALSE,FALSE,38.81509142,"LINESTRING (126.9597792 37.5655357, 126.9599777 37.5652241)",,,,,,,,,,126.9597792,37.5655357,126.9599777,37.5652241,POINT (126.9597792 37.5655357),POINT (126.9599777 37.5652241),0.005321463
5274,4591904328,4591902835,0,464001747,residential,독립문로8길,FALSE,FALSE,42.38944551,"LINESTRING (126.9597792 37.5655357, 126.9599723 37.5655596, 126.9600693 37.5655214, 126.9601991 37.5654258)",,,,,,,,,,126.9597792,37.5655357,126.9601991,37.5654258,POINT (126.9597792 37.5655357),POINT (126.9601991 37.5654258),0.580646527
5275,4591904329,4591904311,0,464007529,residential,경기대로9안길,FALSE,TRUE,2.670573532,"LINESTRING (126.9599777 37.5652241, 126.9599511 37.5652126)",,,,,,,,,,126.9599777,37.5652241,126.9599511,37.5652126,POINT (126.9599777 37.5652241),POINT (126.9599511 37.5652126),0.157476839
5276,4591904329,4591904328,0,464007785,residential,독립문로8길,FALSE,TRUE,38.81509142,"LINESTRING (126.9599777 37.5652241, 126.9597792 37.5655357)",,,,,,,,,,126.9599777,37.5652241,126.9597792,37.5655357,POINT (126.9599777 37.5652241),POINT (126.9597792 37.5655357),0.355814529
5277,4591904329,4591902835,0,464007529,residential,경기대로9안길,FALSE,FALSE,29.85667969,"LINESTRING (126.9599777 37.5652241, 126.9599967 37.5652323, 126.9601991 37.5654258)",,,,,,,,,,126.9599777,37.5652241,126.9601991,37.5654258,POINT (126.9599777 37.5652241),POINT (126.9601991 37.5654258),0.452926116
